"","query_target_gsea.Target.name","query_target_gsea.dangshen_CS","query_target_gsea.huangqi_CS","query_target_gsea.dangshen_NCS","query_target_gsea.huangqi_NCS","query_target_gsea.dangshen_Pvalue","query_target_gsea.huangqi_Pvalue","query_target_gsea.dangshen_FDR","query_target_gsea.huangqi_FDR"
"TRPC6","TRPC6",0.3573,0.00553000000000001,5.15790035220788,0.0798298039398534,0,0.923371647509579,0,0.98650293764369
"S100A12","S100A12",0.101432,-0.232626,1.53558018414207,-3.3934276729939,0.345528455284553,0,0.678444964152106,0.00209249407296178
"TRPC4","TRPC4",-0.34875,0.027109,-5.09320700917421,0.417953074646054,0,0.625984251968504,0,0.949305394332758
"KCNQ3","KCNQ3",0.29658,-0.043985,4.35644540387118,-0.634436425756621,0,0.562376237623762,7.82554381348458e-06,0.958721632824168
"COX6C","COX6C",0.3905,0.015571,5.92496703534894,0.236255215639996,0,0.753968253968254,0,0.964493553507045
"ARFGAP1","ARFGAP1",-0.258821,0.175912,-3.6937459196225,2.50928640603834,0,0.0158730158730159,0.000360631389217472,0.0603720843424007
"TCF4","TCF4",-0.36526,-0.181461,-5.18487526603971,-2.57584364740413,0,0.00425531914893617,0,0.0489867683840296
"MAP1A","MAP1A",-0.34836,-0.026414,-5.18690747336756,-0.393291348035167,0,0.64453125,0,0.942108025836726
"KCNT1","KCNT1",0.44671,0.003298,6.89961599843262,0.0509389392734229,0,0.933852140077821,0,0.991153171267603
"SELE","SELE",-0.321173,0.190121,-4.5438445176221,2.74025769017597,0,0,0,0.0271926036118176
"CPT1A","CPT1A",0.24095,-0.149942,3.31580592367703,-2.21844298220077,0,0.0417536534446764,0.00223386923782776,0.15420223353108
"PTGER4","PTGER4",-0.223713,0.18385,-3.25765788863305,2.61416206815047,0,0.009765625,0.00402832934764197,0.0426592576988551
"GABRG2","GABRG2",0.34436,-0.020993,5.25751994434467,-0.3241468328555,0,0.675889328063241,0,0.942010589499469
"HRH1","HRH1",0.29021,-0.014837,4.21643402750941,-0.213686074260607,0,0.759765625,6.68099148702255e-06,0.961527081974381
"CYP3A7","CYP3A7",0.282908,-0.038876,4.27976285357164,-0.56639437438712,0,0.571142284569138,7.11670832313272e-06,0.955538633119007
"SLC6A3","SLC6A3",0.25743,-0.189347,3.68589770090303,-2.61948053934023,0,0.00198807157057654,0.000263287924090706,0.0421391827949551
"DAGLA","DAGLA",-0.00023999999999999,-0.148725,-0.00394499040268518,-2.44466124016407,0.998065764023211,0.0309477756286267,0.998877612655534,0.075719032141792
"TUBB","TUBB",-0.453,0.029286,-6.62943354344101,0.449807608411375,0,0.61,0,0.950967114421884
"SLC5A2","SLC5A2",0.3139,-0.015378,4.5775839949495,-0.219008358667346,0,0.756653992395437,9.72381929299322e-06,0.96003418472127
"IL5RA","IL5RA",-0.01914,-0.098242,-0.273266668946068,-1.40262612803551,0.741482965931864,0.392785571142285,0.950709408111158,0.80140621935401
"PLG","PLG",0.32416,0.018724,4.59679559390065,0.265518264746409,0,0.735059760956175,9.87040953359111e-06,0.961448110570808
"KCNA4","KCNA4",0.30137,0.172312,4.63669927082629,2.65108977255407,0,0.00594059405940594,1.04479334956629e-05,0.0374784032465253
"ATP1B4","ATP1B4",0.33546,-0.154693,5.40839561764213,-2.35946586718794,0,0.022,0,0.0996265003933954
"CHIA","CHIA",0.053273,-0.050805,0.797260812013504,-0.739602335312596,0.524489795918367,0.547058823529412,0.969071642146427,0.964411032509594
"CHRNA4","CHRNA4",0.274958,0.141534,4.00705676206595,2.06262327978179,0,0.0835030549898167,3.84063700566827e-05,0.232938127526491
"ABCB11","ABCB11",0.32386,-0.014375,4.97814853374864,-0.217346072314978,0,0.769547325102881,0,0.960423365498375
"BIRC2","BIRC2",-0.00369999999999998,0.154045,-0.0553412231505684,2.22712616948408,0.934944237918216,0.0454545454545455,0.98761108779011,0.147095055773077
"SIRT5","SIRT5",-0.41225,-0.006511,-6.11390115626543,-0.0965618203236974,0,0.869565217391304,0,0.98124197007046
"CHUK","CHUK",0.2937,-0.038509,4.56862092999767,-0.571713628511317,0,0.593561368209256,9.58151949846161e-06,0.955260962377047
"LPAR1","LPAR1",0.384599,-0.208668,5.62154804457804,-3.05458266813983,0,0,0,0.008873294374323
"DNMT3A","DNMT3A",-0.47539,-0.21318,-6.95130087369736,-3.11718445961169,0,0.00194552529182879,0,0.00695935530835295
"CYP1A1","CYP1A1",-0.082741,-0.048546,-1.25674867395644,-0.737362627063842,0.4642166344294,0.529980657640232,0.904908102344721,0.963991813082276
"KCNN4","KCNN4",0.24923,-0.00624899999999999,3.76778272022045,-0.0906344468257139,0,0.912698412698413,0.000169251784337905,0.982396444501458
"FFAR4","FFAR4",-0.096095,0.104788,-1.46305324968771,1.53632685337132,0.377470355731225,0.309716599190283,0.749657825653755,0.677714198645512
"COX8A","COX8A",0.3905,0.015571,5.85374759927941,0.233415374822995,0,0.735729386892178,0,0.965244194004462
"SLC6A1","SLC6A1",0.39281,0.013382,6.11416446426547,0.208293446859297,0,0.775967413441955,0,0.965650469459095
"PARP3","PARP3",-0.028499,0.00698599999999999,-0.401325951316263,0.102058375020748,0.635610766045549,0.901353965183752,0.943706169436138,0.985124268279873
"KCNJ12","KCNJ12",-0.240469,-0.203527,-3.4749667936537,-2.94112574432445,0,0.00401606425702811,0.0014083100550466,0.0137921481426501
"TRPC7","TRPC7",0.25855,-0.029218,4.11743569138327,-0.449521830225637,0,0.579961464354528,1.8300107116627e-05,0.942638451341542
"KIF11","KIF11",-0.38309,-0.181447,-6.01322828019983,-2.84810940446741,0,0.00194174757281553,0,0.0194828199707084
"TNNC1","TNNC1",0.261411,-0.047219,3.72789914046652,-0.724889145198823,0,0.524691358024691,0.000215374067673753,0.964661014091309
"CYP2D6","CYP2D6",0.069268,-0.18619,1.04298909067469,-2.85248984101163,0.508264462809917,0.00387596899224806,0.965693904191637,0.0191951405092459
"P2RY10","P2RY10",-0.230834,0.131368,-3.33946021631396,1.95448793842145,0,0.112765957446809,0.00271579521866406,0.305147085793567
"CTSK","CTSK",0.29576,0.00639000000000001,4.43480085458884,0.0958154498945859,0,0.888412017167382,8.25298948396903e-06,0.985973326474753
"NR5A1","NR5A1",0.082865,-0.05607,1.18772611197177,-0.804204897846443,0.487903225806452,0.527777777777778,0.931910272525959,0.970536905010917
"ADRA1B","ADRA1B",0.26057,-0.028612,3.88830834819901,-0.439896170646147,0,0.566287878787879,8.38984810355244e-05,0.943076442771646
"MAPK14","MAPK14",0.291614,-0.034367,4.33456773198857,-0.503999880254174,0,0.590909090909091,7.67270116087746e-06,0.947878520633213
"CHRNE","CHRNE",0.25452,0.119813,3.90076853750464,1.83625169253514,0,0.178423236514523,7.99678981042089e-05,0.400176094465624
"AR","AR",0.06638,-0.032652,1.0082823134104,-0.510498941526584,0.505154639175258,0.570873786407767,0.969108035752245,0.948936136007907
"ERN1","ERN1",0.33676,0.180421,5.11926867854604,2.74267601333875,0,0,0,0.0269094258362569
"TPH1","TPH1",0.26668,0.015725,3.82651187541662,0.22563334048645,0,0.778012684989429,0.000127484880826887,0.964349925505097
"KCTD8","KCTD8",0.28615,-0.201872,4.29243578198619,-2.86523726387254,0,0,7.22136579847291e-06,0.0182822779065385
"AKT2","AKT2",0.26903,0.031718,3.91473965271644,0.461538535869085,0,0.63671875,7.17988536829891e-05,0.951996719201637
"UGCG","UGCG",0.091641,-0.014601,1.22528468395286,-0.200570096475402,0.471887550200803,0.804780876494024,0.915012042248619,0.964247250839136
"MAPK1","MAPK1",0.130189,-0.12746,2.13721408837857,-2.01782991370501,0.0752032520325203,0.118110236220472,0.190014111586563,0.263875211531666
"NGFR","NGFR",0.01858,-0.001404,0.278134077330448,-0.021111094370393,0.697813121272366,0.963782696177062,0.960886563059761,0.995122247948286
"SI","SI",0.34361,-0.010027,4.9236739830921,-0.154571184043217,0,0.807116104868914,0,0.970733639575528
"KCNK4","KCNK4",0.28106,-0.160647,4.29774411524068,-2.48820011650742,0,0.0184426229508197,7.30190147652279e-06,0.0662632180130111
"IDE","IDE",-0.00537,0.191687,-0.0865590426330645,2.81256086539599,0.871578947368421,0.0019047619047619,0.981622378453004,0.0208964429876595
"ASAH1","ASAH1",0.221255,0.146636,2.82267844126376,1.87072055281532,0,0.0916496945010183,0.0202171183375327,0.370301575144428
"CASP3","CASP3",-0.25397,0.011576,-3.66301556715433,0.174066956196277,0,0.829365079365079,0.000454321938758114,0.971769020443816
"CCL2","CCL2",0.03138,0.133978,0.467904231014813,1.99773336720531,0.602739726027397,0.101761252446184,0.951753039999959,0.274189056718507
"ITGB2","ITGB2",0.28134,-0.181637,4.16912929568309,-2.67921282481568,0,0,1.27133430238487e-05,0.034731743251553
"TSHR","TSHR",-0.33065,0.214575,-4.74961792724285,3.06874523719219,0,0,0,0.00735702431311565
"INPP5D","INPP5D",-0.202793,-0.023406,-2.93083821301339,-0.338272027208984,0.00401606425702811,0.65863453815261,0.0142293677358152,0.942192052788936
"COX5B","COX5B",0.3905,0.015571,6.14319321777111,0.244956879881982,0,0.768611670020121,0,0.964327412584087
"PYGM","PYGM",-0.38047,-0.113667,-6.27962359562204,-1.87606375073875,0,0.212981744421907,0,0.371316495642633
"CASR","CASR",-0.3677,0.00525100000000001,-5.39916630197503,0.0715244735108944,0,0.925252525252525,0,0.986412309869923
"GAA","GAA",-0.161333,-0.184565,-2.46056472532518,-2.81488677784237,0.0191204588910134,0.00382409177820268,0.0719820285817962,0.0218755175213149
"SLC18A2","SLC18A2",0.03316,-0.03715,0.477088073126948,-0.56923224544996,0.62109375,0.559426229508197,0.951166871311568,0.955947045241968
"SLC12A4","SLC12A4",0.01443,0.00349200000000001,0.216778076276198,0.0524593930946975,0.764,0.946,0.965865836259045,0.990736884782061
"PDE7B","PDE7B",0.33479,0.020157,5.08327363289953,0.306053187426016,0,0.711500974658869,0,0.957719675554328
